"Fecha","REGION","CASOS"
"02/04/2020","JUN",0
"03/04/2020","JUN",6
"04/04/2020","JUN",0
"05/04/2020","JUN",3
"06/04/2020","JUN",0
"07/04/2020","JUN",14
"08/04/2020","JUN",14
"09/04/2020","JUN",0
"10/04/2020","JUN",2
"11/04/2020","JUN",6
"TOTALES","JUN",68
"06/03/2020","TUM",0
"07/03/2020","TUM",0
"08/03/2020","TUM",0
"09/03/2020","TUM",0
"10/03/2020","TUM",0
"11/03/2020","TUM",0
"12/03/2020","TUM",0
"13/03/2020","TUM",0
"14/03/2020","TUM",0
"15/03/2020","TUM",0
"16/03/2020","TUM",0
"17/03/2020","TUM",0
"18/03/2020","TUM",0
"19/03/2020","TUM",0
"20/03/2020","TUM",0
"21/03/2020","TUM",0
"22/03/2020","TUM",0
"23/03/2020","TUM",3
"24/03/2020","TUM",0
"25/03/2020","TUM",0
"26/03/2020","TUM",2
"27/03/2020","TUM",1
"28/03/2020","TUM",2
"29/03/2020","TUM",0
"30/03/2020","TUM",2
"31/03/2020","TUM",3
"01/04/2020","TUM",2
"02/04/2020","TUM",2
"03/04/2020","TUM",3
"04/04/2020","TUM",6
"05/04/2020","TUM",0
"06/04/2020","TUM",1
"07/04/2020","TUM",0
"08/04/2020","TUM",0
"09/04/2020","TUM",0
"10/04/2020","TUM",41
"11/04/2020","TUM",1
"TOTALES","TUM",72
"06/03/2020","CAJ",0
"07/03/2020","CAJ",0
"08/03/2020","CAJ",0
"09/03/2020","CAJ",0
"10/03/2020","CAJ",0
"11/03/2020","CAJ",0
"12/03/2020","CAJ",0
"13/03/2020","CAJ",0
"14/03/2020","CAJ",0
"15/03/2020","CAJ",0
"16/03/2020","CAJ",0
"17/03/2020","CAJ",0
"18/03/2020","CAJ",0
"19/03/2020","CAJ",0
"20/03/2020","CAJ",0
"21/03/2020","CAJ",0
"22/03/2020","CAJ",0
"23/03/2020","CAJ",0
"24/03/2020","CAJ",1
"25/03/2020","CAJ",0
"26/03/2020","CAJ",0
"27/03/2020","CAJ",0
"28/03/2020","CAJ",0
"29/03/2020","CAJ",0
"30/03/2020","CAJ",0
"31/03/2020","CAJ",1
"01/04/2020","CAJ",1
"02/04/2020","CAJ",1
"03/04/2020","CAJ",2
"04/04/2020","CAJ",0
"05/04/2020","CAJ",0
"06/04/2020","CAJ",0
"07/04/2020","CAJ",5
"08/04/2020","CAJ",0
"09/04/2020","CAJ",0
"10/04/2020","CAJ",0
"11/04/2020","CAJ",0
"TOTALES","CAJ",11
"06/03/2020","PAS",0
"07/03/2020","PAS",0
"08/03/2020","PAS",0
"09/03/2020","PAS",0
"10/03/2020","PAS",0
"11/03/2020","PAS",0
"12/03/2020","PAS",0
"13/03/2020","PAS",0
"14/03/2020","PAS",0
"15/03/2020","PAS",0
"16/03/2020","PAS",0
"17/03/2020","PAS",0
"18/03/2020","PAS",0
"19/03/2020","PAS",0
"20/03/2020","PAS",0
"21/03/2020","PAS",0
"22/03/2020","PAS",0
"23/03/2020","PAS",0
"24/03/2020","PAS",0
"25/03/2020","PAS",0
"26/03/2020","PAS",1
"27/03/2020","PAS",0
"28/03/2020","PAS",0
"29/03/2020","PAS",0
"30/03/2020","PAS",0
"31/03/2020","PAS",0
"01/04/2020","PAS",0
"02/04/2020","PAS",0
"03/04/2020","PAS",1
"04/04/2020","PAS",1
"05/04/2020","PAS",2
"06/04/2020","PAS",0
"07/04/2020","PAS",0
"08/04/2020","PAS",0
"09/04/2020","PAS",3
"10/04/2020","PAS",1
"11/04/2020","PAS",2
"TOTALES","PAS",11
"06/03/2020","TAC",0
"07/03/2020","TAC",0
"08/03/2020","TAC",0
"09/03/2020","TAC",0
"10/03/2020","TAC",0
"11/03/2020","TAC",0
"12/03/2020","TAC",0
"13/03/2020","TAC",0
"14/03/2020","TAC",0
"15/03/2020","TAC",0
"16/03/2020","TAC",0
"17/03/2020","TAC",0
"18/03/2020","TAC",0
"19/03/2020","TAC",0
"20/03/2020","TAC",0
"21/03/2020","TAC",0
"22/03/2020","TAC",0
"23/03/2020","TAC",0
"24/03/2020","TAC",0
"25/03/2020","TAC",0
"26/03/2020","TAC",0
"27/03/2020","TAC",0
"28/03/2020","TAC",1
"29/03/2020","TAC",0
"30/03/2020","TAC",1
"31/03/2020","TAC",1
"01/04/2020","TAC",0
"02/04/2020","TAC",0
"03/04/2020","TAC",0
"04/04/2020","TAC",6
"05/04/2020","TAC",0
"06/04/2020","TAC",0
"07/04/2020","TAC",0
"08/04/2020","TAC",0
"09/04/2020","TAC",0
"10/04/2020","TAC",0
"11/04/2020","TAC",0
"TOTALES","TAC",9
"06/03/2020","AYA",0
"07/03/2020","AYA",0
"08/03/2020","AYA",0
"09/03/2020","AYA",0
"10/03/2020","AYA",0
"11/03/2020","AYA",0
"12/03/2020","AYA",0
"13/03/2020","AYA",0
"14/03/2020","AYA",0
"15/03/2020","AYA",0
"16/03/2020","AYA",0
"17/03/2020","AYA",0
"18/03/2020","AYA",0
"19/03/2020","AYA",0
"20/03/2020","AYA",0
"21/03/2020","AYA",0
"22/03/2020","AYA",0
"23/03/2020","AYA",0
"24/03/2020","AYA",0
"25/03/2020","AYA",0
"26/03/2020","AYA",0
"27/03/2020","AYA",0
"28/03/2020","AYA",1
"29/03/2020","AYA",0
"30/03/2020","AYA",0
"31/03/2020","AYA",0
"01/04/2020","AYA",0
"02/04/2020","AYA",0
"03/04/2020","AYA",0
"04/04/2020","AYA",2
"05/04/2020","AYA",2
"06/04/2020","AYA",0
"07/04/2020","AYA",0
"08/04/2020","AYA",2
"09/04/2020","AYA",2
"10/04/2020","AYA",2
"11/04/2020","AYA",0
"TOTALES","AYA",11
"06/03/2020","HUA",0
"07/03/2020","HUA",0
"08/03/2020","HUA",0
"09/03/2020","HUA",0
"10/03/2020","HUA",0
"11/03/2020","HUA",0
"12/03/2020","HUA",0
"13/03/2020","HUA",0
"14/03/2020","HUA",0
"15/03/2020","HUA",0
"16/03/2020","HUA",0
"17/03/2020","HUA",0
"18/03/2020","HUA",0
"19/03/2020","HUA",0
"20/03/2020","HUA",0
"21/03/2020","HUA",0
"22/03/2020","HUA",0
"23/03/2020","HUA",0
"24/03/2020","HUA",0
"25/03/2020","HUA",0
"26/03/2020","HUA",0
"27/03/2020","HUA",0
"28/03/2020","HUA",0
"29/03/2020","HUA",0
"30/03/2020","HUA",0
"31/03/2020","HUA",1
"01/04/2020","HUA",0
"02/04/2020","HUA",0
"03/04/2020","HUA",0
"04/04/2020","HUA",0
"05/04/2020","HUA",1
"06/04/2020","HUA",5
"07/04/2020","HUA",0
"08/04/2020","HUA",0
"09/04/2020","HUA",0
"10/04/2020","HUA",0
"11/04/2020","HUA",2
"TOTALES","HUA",10
"06/03/2020","APU",0
"07/03/2020","APU",0
"08/03/2020","APU",0
"09/03/2020","APU",0
"10/03/2020","APU",0
"11/03/2020","APU",0
"12/03/2020","APU",0
"13/03/2020","APU",0
"14/03/2020","APU",0
"15/03/2020","APU",0
"16/03/2020","APU",0
"17/03/2020","APU",0
