"","Fecha","REGION","CASOS"
"454","10/04/2020","SAM",2
"455","11/04/2020","SAM",3
"456","TOTALES","SAM",23
"457","06/03/2020","MDD",0
"458","07/03/2020","MDD",0
"459","08/03/2020","MDD",0
"460","09/03/2020","MDD",0
"461","10/03/2020","MDD",0
"462","11/03/2020","MDD",0
"463","12/03/2020","MDD",0
"464","13/03/2020","MDD",0
"465","14/03/2020","MDD",0
"466","15/03/2020","MDD",0
"467","16/03/2020","MDD",0
"468","17/03/2020","MDD",0
"469","18/03/2020","MDD",1
"470","19/03/2020","MDD",0
"471","20/03/2020","MDD",0
"472","21/03/2020","MDD",0
"473","22/03/2020","MDD",0
"474","23/03/2020","MDD",0
"475","24/03/2020","MDD",0
"476","25/03/2020","MDD",0
"477","26/03/2020","MDD",0
"478","27/03/2020","MDD",0
"479","28/03/2020","MDD",0
"480","29/03/2020","MDD",0
"481","30/03/2020","MDD",0
"482","31/03/2020","MDD",0
"483","01/04/2020","MDD",1
"484","02/04/2020","MDD",0
"485","03/04/2020","MDD",0
"486","04/04/2020","MDD",0
"487","05/04/2020","MDD",0
"488","06/04/2020","MDD",0
"489","07/04/2020","MDD",0
"490","08/04/2020","MDD",1
"491","09/04/2020","MDD",0
"492","10/04/2020","MDD",0
"493","11/04/2020","MDD",0
"494","TOTALES","MDD",10
"495","06/03/2020","JUN",0
"496","07/03/2020","JUN",0
"497","08/03/2020","JUN",0
"498","09/03/2020","JUN",0
"499","10/03/2020","JUN",0
"500","11/03/2020","JUN",0
"501","12/03/2020","JUN",0
"502","13/03/2020","JUN",0
"503","14/03/2020","JUN",0
"504","15/03/2020","JUN",0
"505","16/03/2020","JUN",0
"506","17/03/2020","JUN",0
"507","18/03/2020","JUN",0
"508","19/03/2020","JUN",3
"509","20/03/2020","JUN",7
"510","21/03/2020","JUN",0
"511","22/03/2020","JUN",0
"512","23/03/2020","JUN",0
"513","24/03/2020","JUN",1
"514","25/03/2020","JUN",0
"515","26/03/2020","JUN",1
"516","27/03/2020","JUN",0
"517","28/03/2020","JUN",1
"518","29/03/2020","JUN",0
"519","30/03/2020","JUN",4
"520","31/03/2020","JUN",0
"521","01/04/2020","JUN",2
"522","02/04/2020","JUN",0
"523","03/04/2020","JUN",6
"524","04/04/2020","JUN",0
"525","05/04/2020","JUN",3
"526","06/04/2020","JUN",0
"527","07/04/2020","JUN",14
"528","08/04/2020","JUN",14
"529","09/04/2020","JUN",0
"530","10/04/2020","JUN",2
"531","11/04/2020","JUN",6
"532","TOTALES","JUN",68
"533","06/03/2020","TUM",0
"534","07/03/2020","TUM",0
"535","08/03/2020","TUM",0
"536","09/03/2020","TUM",0
"537","10/03/2020","TUM",0
"538","11/03/2020","TUM",0
"539","12/03/2020","TUM",0
"540","13/03/2020","TUM",0
"541","14/03/2020","TUM",0
"542","15/03/2020","TUM",0
"543","16/03/2020","TUM",0
"544","17/03/2020","TUM",0
"545","18/03/2020","TUM",0
"546","19/03/2020","TUM",0
"547","20/03/2020","TUM",0
"548","21/03/2020","TUM",0
"549","22/03/2020","TUM",0
"550","23/03/2020","TUM",3
"551","24/03/2020","TUM",0
"552","25/03/2020","TUM",0
"553","26/03/2020","TUM",2
"554","27/03/2020","TUM",1
"555","28/03/2020","TUM",2
"556","29/03/2020","TUM",0
"557","30/03/2020","TUM",2
"558","31/03/2020","TUM",3
"559","01/04/2020","TUM",2
"560","02/04/2020","TUM",2
"561","03/04/2020","TUM",3
"562","04/04/2020","TUM",6
"563","05/04/2020","TUM",0
"564","06/04/2020","TUM",1
"565","07/04/2020","TUM",0
"566","08/04/2020","TUM",0
"567","09/04/2020","TUM",0
"568","10/04/2020","TUM",41
"569","11/04/2020","TUM",1
"570","TOTALES","TUM",72
"571","06/03/2020","CAJ",0
"572","07/03/2020","CAJ",0
"573","08/03/2020","CAJ",0
"574","09/03/2020","CAJ",0
"575","10/03/2020","CAJ",0
"576","11/03/2020","CAJ",0
"577","12/03/2020","CAJ",0
"578","13/03/2020","CAJ",0
"579","14/03/2020","CAJ",0
"580","15/03/2020","CAJ",0
"581","16/03/2020","CAJ",0
"582","17/03/2020","CAJ",0
"583","18/03/2020","CAJ",0
"584","19/03/2020","CAJ",0
"585","20/03/2020","CAJ",0
"586","21/03/2020","CAJ",0
"587","22/03/2020","CAJ",0
"588","23/03/2020","CAJ",0
"589","24/03/2020","CAJ",1
"590","25/03/2020","CAJ",0
"591","26/03/2020","CAJ",0
"592","27/03/2020","CAJ",0
