"","Fecha","REGION","CASOS"
"676","15-MAR","AYA",0
"677","16-MAR","AYA",0
"678","17-MAR","AYA",0
"679","18-MAR","AYA",0
"680","19-MAR","AYA",0
"681","20-MAR","AYA",0
"682","21-MAR","AYA",0
"683","22-MAR","AYA",0
"684","23-MAR","AYA",0
"685","24-MAR","AYA",0
"686","25-MAR","AYA",0
"687","26-MAR","AYA",0
"688","27-MAR","AYA",0
"689","28-MAR","AYA",1
"690","29-MAR","AYA",0
"691","30-MAR","AYA",0
"692","31-MAR","AYA",0
"693","1-ABR","AYA",0
"694","2-ABR","AYA",0
"695","3-ABR","AYA",0
"696","4-ABR","AYA",2
"697","5 ABRIL","AYA",2
"698","6-ABR","AYA",0
"699","7-ABR","AYA",0
"700","8-ABR","AYA",2
"701","9-ABR","AYA",2
"702","10-ABR","AYA",4
"703","11-ABR","AYA",0
"704","6-MAR","HUA",0
"705","7-MAR","HUA",0
"706","8-MAR","HUA",0
"707","9-MAR","HUA",0
"708","10-MAR","HUA",0
"709","11-MAR","HUA",0
"710","12-MAR","HUA",0
"711","13-MAR","HUA",0
"712","14-MAR","HUA",0
"713","15-MAR","HUA",0
"714","16-MAR","HUA",0
"715","17-MAR","HUA",0
"716","18-MAR","HUA",0
"717","19-MAR","HUA",0
"718","20-MAR","HUA",0
"719","21-MAR","HUA",0
"720","22-MAR","HUA",0
"721","23-MAR","HUA",0
"722","24-MAR","HUA",0
"723","25-MAR","HUA",0
"724","26-MAR","HUA",0
"725","27-MAR","HUA",0
"726","28-MAR","HUA",0
"727","29-MAR","HUA",0
"728","30-MAR","HUA",0
"729","31-MAR","HUA",1
"730","1-ABR","HUA",0
"731","2-ABR","HUA",0
"732","3-ABR","HUA",0
"733","4-ABR","HUA",0
"734","5 ABRIL","HUA",1
"735","6-ABR","HUA",5
"736","7-ABR","HUA",0
"737","8-ABR","HUA",0
"738","9-ABR","HUA",0
"739","10-ABR","HUA",0
"740","11-ABR","HUA",2
"741","6-MAR","APU",0
"742","7-MAR","APU",0
"743","8-MAR","APU",0
"744","9-MAR","APU",0
"745","10-MAR","APU",0
"746","11-MAR","APU",0
"747","12-MAR","APU",0
"748","13-MAR","APU",0
"749","14-MAR","APU",0
"750","15-MAR","APU",0
"751","16-MAR","APU",0
"752","17-MAR","APU",0
"753","18-MAR","APU",0
"754","19-MAR","APU",0
"755","20-MAR","APU",0
"756","21-MAR","APU",0
"757","22-MAR","APU",0
"758","23-MAR","APU",0
"759","24-MAR","APU",0
"760","25-MAR","APU",0
"761","26-MAR","APU",0
"762","27-MAR","APU",0
